Element Id,Family,Type,Level,Additional Flow,Area,Category,Comments,Connection Type,Design Option,Diameter,Export to IFC,Export to IFC As,Family Name,Fixture Units,Flow,Flow State,Friction,Friction Factor,Horizontal Justification,IFC Predefined Type,IfcGUID,Image,Inside Diameter,Insulation Thickness,Insulation Type,Length,Lower End Bottom Elevation,Lower End Centerline Elevation,Lower End Invert Elevation,Mark,Material,Middle Elevation,Outside Diameter,Overall Size,Phase Created,Phase Demolished,Pipe Segment,Pressure Drop,Reference Level,Relative Roughness,Reynolds Number,Roughness,Schedule/Type,Section,Segment Description,Size,Slope,System Abbreviation,System Classification,System Name,System Type,Type Name,Upper End Centerline Elevation,Upper End Top Elevation,Velocity,Velocity Pressure,Vertical Justification,Wall Thickness
1380065,Pipe Types,PVC - DWV,,,2 SF,-2008044,,Generic,,"4""",0,,Pipe Types,4,,,,,0,,1Z2CFtDVr3aw3HeCXkWToV,,"4""","0""",,"1' - 5 31/32""","-1' - 9 9/32""","-1' - 9 9/32""","-1' - 9 9/32""",,Polyvinyl Chloride - Rigid,,"4 1/2""","4""ø",New Construction,,Polyvinyl Chloride - Rigid - Schedule 40,,L1 - Block 37,,,"0.00010""",Schedule 40,,,"4""ø",,,Sanitary,Building Sanitary,Sanitary,PVC - DWV,"-0' - 3 5/16""","-0' - 3 5/16""",,,0,"1/4"""
1380135,Pipe Types,PVC - DWV,,,1 SF,-2008044,,Generic,,"4""",0,,Pipe Types,4,,,,,0,,1Z2CFtDVr3aw3HeCXkWTrP,,"4""","0""",,"1' - 5 1/16""","-1' - 8 3/8""","-1' - 8 3/8""","-1' - 8 3/8""",,Polyvinyl Chloride - Rigid,,"4 1/2""","4""ø",New Construction,,Polyvinyl Chloride - Rigid - Schedule 40,,L3,,,"0.00010""",Schedule 40,,,"4""ø",,,Sanitary,Building Sanitary,Sanitary,PVC - DWV,"-0' - 3 5/16""","-0' - 3 5/16""",,,0,"1/4"""
1380148,Pipe Types,PVC - DWV,,,1 SF,-2008044,,Generic,,"4""",0,,Pipe Types,4,,,,,0,,1Z2CFtDVr3aw3HeCXkWTrC,,"4""","0""",,"1' - 5 1/16""","-1' - 8 3/8""","-1' - 8 3/8""","-1' - 8 3/8""",,Polyvinyl Chloride - Rigid,,"4 1/2""","4""ø",New Construction,,Polyvinyl Chloride - Rigid - Schedule 40,,L3,,,"0.00010""",Schedule 40,,,"4""ø",,,Sanitary,Building Sanitary,Sanitary,PVC - DWV,"-0' - 3 5/16""","-0' - 3 5/16""",,,0,"1/4"""
1380161,Pipe Types,PVC - DWV,,,1 SF,-2008044,,Generic,,"4""",0,,Pipe Types,4,,,,,0,,1Z2CFtDVr3aw3HeCXkWTq$,,"4""","0""",,"1' - 3 1/16""","-1' - 6 3/8""","-1' - 6 3/8""","-1' - 6 3/8""",,Polyvinyl Chloride - Rigid,,"4 1/2""","4""ø",New Construction,,Polyvinyl Chloride - Rigid - Schedule 40,,L3,,,"0.00010""",Schedule 40,,,"4""ø",,,Sanitary,Building Sanitary,Sanitary,PVC - DWV,"-0' - 3 5/16""","-0' - 3 5/16""",,,0,"1/4"""
1380174,Pipe Types,PVC - DWV,,,1 SF,-2008044,,Generic,,"4""",0,,Pipe Types,4,,,,,0,,1Z2CFtDVr3aw3HeCXkWTqo,,"4""","0""",,"1' - 3 1/16""","-1' - 6 3/8""","-1' - 6 3/8""","-1' - 6 3/8""",,Polyvinyl Chloride - Rigid,,"4 1/2""","4""ø",New Construction,,Polyvinyl Chloride - Rigid - Schedule 40,,L3,,,"0.00010""",Schedule 40,,,"4""ø",,,Sanitary,Building Sanitary,Sanitary,PVC - DWV,"-0' - 3 5/16""","-0' - 3 5/16""",,,0,"1/4"""
1380355,Pipe Types,PVC - DWV,,,1 SF,-2008044,,Generic,,"4""",0,,Pipe Types,4,,,,,0,,1Z2CFtDVr3aw3HeCXkWS9z,,"4""","0""",,"1' - 5 1/16""","-1' - 8 3/8""","-1' - 8 3/8""","-1' - 8 3/8""",,Polyvinyl Chloride - Rigid,,"4 1/2""","4""ø",New Construction,,Polyvinyl Chloride - Rigid - Schedule 40,,L4,,,"0.00010""",Schedule 40,,,"4""ø",,,Sanitary,Building Sanitary,Sanitary,PVC - DWV,"-0' - 3 5/16""","-0' - 3 5/16""",,,0,"1/4"""
1380392,Pipe Types,PVC - DWV,,,1 SF,-2008044,,Generic,,"4""",0,,Pipe Types,4,,,,,0,,1Z2CFtDVr3aw3HeCXkWS9O,,"4""","0""",,"1' - 5 1/16""","-1' - 8 3/8""","-1' - 8 3/8""","-1' - 8 3/8""",,Polyvinyl Chloride - Rigid,,"4 1/2""","4""ø",New Construction,,Polyvinyl Chloride - Rigid - Schedule 40,,L4,,,"0.00010""",Schedule 40,,,"4""ø",,,Sanitary,Building Sanitary,Sanitary,PVC - DWV,"-0' - 3 5/16""","-0' - 3 5/16""",,,0,"1/4"""
1380405,Pipe Types,PVC - DWV,,,1 SF,-2008044,,Generic,,"4""",0,,Pipe Types,4,,,,,0,,1Z2CFtDVr3aw3HeCXkWS9B,,"4""","0""",,"1' - 3 1/16""","-1' - 6 3/8""","-1' - 6 3/8""","-1' - 6 3/8""",,Polyvinyl Chloride - Rigid,,"4 1/2""","4""ø",New Construction,,Polyvinyl Chloride - Rigid - Schedule 40,,L4,,,"0.00010""",Schedule 40,,,"4""ø",,,Sanitary,Building Sanitary,Sanitary,PVC - DWV,"-0' - 3 5/16""","-0' - 3 5/16""",,,0,"1/4"""
1380418,Pipe Types,PVC - DWV,,,1 SF,-2008044,,Generic,,"4""",0,,Pipe Types,4,,,,,0,,1Z2CFtDVr3aw3HeCXkWS8_,,"4""","0""",,"1' - 3 1/16""","-1' - 6 13/32""","-1' - 6 3/8""","-1' - 6 13/32""",,Polyvinyl Chloride - Rigid,,"4 1/2""","4""ø",New Construction,,Polyvinyl Chloride - Rigid - Schedule 40,,L4,,,"0.00010""",Schedule 40,,,"4""ø","4686 1/8"" / 12""",,Sanitary,Building Sanitary,Sanitary,PVC - DWV,"-0' - 3 5/16""","-0' - 3 5/16""",,,0,"1/4"""
1380433,Pipe Types,PVC - DWV,,,0 SF,-2008044,,Generic,,"4""",0,,Pipe Types,4,,,,,0,,1Z2CFtDVr3aw3HeCXkWS8l,,"4""","0""",,"0' - 1 13/16""","-0' - 5 1/8""","-0' - 5 1/8""","-0' - 5 1/8""",,Polyvinyl Chloride - Rigid,,"4 1/2""","4""ø",New Construction,,Polyvinyl Chloride - Rigid - Schedule 40,,L4,,,"0.00010""",Schedule 40,,,"4""ø",,,Sanitary,Building Sanitary,Sanitary,PVC - DWV,"-0' - 3 5/16""","-0' - 3 5/16""",,,0,"1/4"""
