Element Id,Family,Type,Level,Doors Count,Entourage Count,Furniture Count,Generic Models Count,Lighting Fixtures Count,Windows Count,Actual Lighting Load,Actual Lighting Load per area,Actual Power Load,Actual Power Load per area,Area,Area per Person,Base Lighting Load on,Base Offset,Base Power Load on,Calculated Cooling Load per area,Calculated Heating Load per area,Calculated Supply Airflow per area,Category,Computation Height,Export to IFC,Heat Load Values,IfcGUID,Latent Heat Gain per person,Lighting Load Units,Limit Offset,Name,Number,Number of People,Perimeter,Phase,Phase Id,Plenum Lighting Contribution,Power Load Units,Sensible Heat Gain per person,Specified Lighting Load,Specified Lighting Load per area,Specified Power Load,Specified Power Load per area,Total Heat Gain per person,Unbounded Height,Upper Limit
177056,,,Unknown,2,0,0,0,0,0,0 W,0.00 W/m²,0 W,0.00 W/m²,41 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39Emh,59 W,0,4000,Vest.,101,0,39889,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4000,01 - Entry Level
177304,,,Unknown,10,0,0,0,0,0,0 W,0.00 W/m²,0 W,0.00 W/m²,327 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39EiJ,59 W,0,4229,Lobby,102,0,114451,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4229,01 - Entry Level
177305,,,Unknown,1,0,75,0,0,0,0 W,0.00 W/m²,0 W,0.00 W/m²,147 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39EiI,59 W,0,4000,Cafeteria,121,0,60109,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4000,01 - Entry Level
177306,,,Unknown,1,0,0,0,0,2,0 W,0.00 W/m²,0 W,0.00 W/m²,22 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39EiH,59 W,0,4000,Prep/Dish,122,0,19266,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4000,01 - Entry Level
177307,,,Unknown,1,0,0,0,0,0,0 W,0.00 W/m²,0 W,0.00 W/m²,8 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39EiG,59 W,0,4000,Dry Storage,124,0,12072,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4000,01 - Entry Level
177308,,,Unknown,0,0,0,0,0,0,0 W,0.00 W/m²,0 W,0.00 W/m²,6 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39EiN,59 W,0,4000,Electrical,125,0,10574,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4000,01 - Entry Level
177309,,,Unknown,0,0,0,0,0,4,0 W,0.00 W/m²,0 W,0.00 W/m²,42 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39EiM,59 W,0,4000,Conference,123,0,29034,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4000,01 - Entry Level
177310,,,Unknown,1,0,0,0,0,0,0 W,0.00 W/m²,0 W,0.00 W/m²,15 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39EiL,59 W,0,4000,Office,127,0,18198,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4000,01 - Entry Level
177311,,,Unknown,1,0,0,0,0,0,0 W,0.00 W/m²,0 W,0.00 W/m²,16 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39EiK,59 W,0,4000,Admin,126,0,17676,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4000,01 - Entry Level
177312,,,Unknown,0,0,0,0,0,0,0 W,0.00 W/m²,0 W,0.00 W/m²,10 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39Eih,59 W,0,4000,Storage,128,0,12459,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4000,01 - Entry Level
177313,,,Unknown,0,0,0,0,0,0,0 W,0.00 W/m²,0 W,0.00 W/m²,6 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39Eig,59 W,0,4000,Toilet,129,0,9465,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4000,01 - Entry Level
177314,,,Unknown,1,0,0,0,0,0,0 W,0.00 W/m²,0 W,0.00 W/m²,19 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39Eif,59 W,0,4000,Stair,130,0,19612,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,4000,01 - Entry Level
177315,,,Unknown,5,0,0,0,0,0,0 W,0.00 W/m²,0 W,0.00 W/m²,55 m²,29 m²,-1,0,-1,0.00 W/m²,0.00 W/m²,0.00 L/(s·m²),-2000160,1200,0,-1,1GE3M13VHAWxhxwcp39Eie,59 W,0,3486,Corridor,131,0,47682,New Construction,New Construction,20.00%,0,73 W,0 W,10.76 W/m²,0 W,13.99 W/m²,132 W,3486,01 - Entry Level
